2012-10-16 23:01:23 status half-installed dpkg:armhf 1.16.7ubuntu6
2012-10-16 23:01:23 status unpacked dpkg:armhf 1.16.7ubuntu6
2012-10-16 23:01:23 status unpacked dpkg:armhf 1.16.7ubuntu6
2012-10-16 23:01:23 install e2fslibs:armhf <none> 1.42.5-1ubuntu2
2012-10-16 23:01:23 status half-installed e2fslibs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 status unpacked e2fslibs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 status unpacked e2fslibs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 install e2fsprogs:armhf <none> 1.42.5-1ubuntu2
2012-10-16 23:01:23 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:23 install findutils:armhf <none> 4.4.2-4ubuntu2
2012-10-16 23:01:23 status half-installed findutils:armhf 4.4.2-4ubuntu2
2012-10-16 23:01:23 status unpacked findutils:armhf 4.4.2-4ubuntu2
2012-10-16 23:01:23 status unpacked findutils:armhf 4.4.2-4ubuntu2
2012-10-16 23:01:23 install gcc-4.7-base:armhf <none> 4.7.2-2ubuntu1
2012-10-16 23:01:23 status half-installed gcc-4.7-base:armhf 4.7.2-2ubuntu1
2012-10-16 23:01:23 status unpacked gcc-4.7-base:armhf 4.7.2-2ubuntu1
2012-10-16 23:01:23 status unpacked gcc-4.7-base:armhf 4.7.2-2ubuntu1
2012-10-16 23:01:23 install grep:armhf <none> 2.12-2
2012-10-16 23:01:23 status half-installed grep:armhf 2.12-2
2012-10-16 23:01:24 status unpacked grep:armhf 2.12-2
2012-10-16 23:01:24 status unpacked grep:armhf 2.12-2
2012-10-16 23:01:24 install gzip:armhf <none> 1.5-1.1ubuntu1
2012-10-16 23:01:24 status half-installed gzip:armhf 1.5-1.1ubuntu1
2012-10-16 23:01:24 status unpacked gzip:armhf 1.5-1.1ubuntu1
2012-10-16 23:01:24 status unpacked gzip:armhf 1.5-1.1ubuntu1
2012-10-16 23:01:24 install hostname:armhf <none> 3.11ubuntu1
2012-10-16 23:01:24 status half-installed hostname:armhf 3.11ubuntu1
2012-10-16 23:01:24 status unpacked hostname:armhf 3.11ubuntu1
2012-10-16 23:01:24 status unpacked hostname:armhf 3.11ubuntu1
